,aid,Authors,Title,Pub_year,Concept_mod,Graphical,Robust,Response
18,18,"Azman, N.; Halim, S. A.; Liu, O. P.; Saidin, S.; Komoo, I.",Public education in heritage conservation for geopark community,2010,1,1,1,Graphical robust
771,827,"Baird, T. D.; Leslie, P. W.",Conservation as disturbance: Upheaval and livelihood diversification near Tarangire ,2013,1,1,1,Graphical robust
1034,1103,Ferraro & Hanauer,Quantifying causal mechanisms to determine how protected areas affect poverty through changes in ecosystem services and infrastructure,2015,1,1,1,Graphical robust
237,248,"Hajjar, R.; McGrath, D. G.; Kozak, R. A.; Innes, J. L.",Framing community forestry challenges with a broader lens: Case studies from the Brazilian Amazon,2011,1,1,1,Graphical robust
356,370,"Karki, S. T.","Do protected areas and conservation incentives contribute to sustainable livelihoods? A case study of Bardia National Park, Nepal",2013,1,1,1,Graphical robust
418,433,"Liu, J.; Qu, H.; Huang, D.; Chen, G.; Yue, X.; Zhao, X.; Liang, Z.",The role of social capital in encouraging residents’é pro-environmental behaviors in community-based ecotourism,2014,1,1,1,Graphical robust
594,611,"Pegas, F. D. V.; Coghlan, A.; Stronza, A.; Rocha, V.",For love or for money? Investigating the impact of an ecotourism programme on local residents' assigned values towards sea turtles,2013,1,1,1,Graphical robust
606,623,"Pratt, D. G.; Macmillan, D. C.; Gordon, I. J.",Local community attitudes to wildlife utilisation in the changing economic and social context of Mongolia,2004,1,1,1,Graphical robust
931,994,"Salafsky, N., Cauley, H., Balachander, G., Cordes, B., Parks, J., Margoluis, C., Bhatt, S., Encarnacion, C., Russell, D., and Margoluis, R.",A Systematic Test of an Enterprise Strategy for Community-Based Biodiversity Conservation,2001,1,1,1,Graphical robust
991,1052,"Wunder, S.",Ecotourism and economic incentives - An empirical approach,2000,1,1,1,Graphical robust
8,8,"Ali, T.; Ahmad, M.; Shahbaz, B.; Suleri, A.",Impact of participatory forest management on vulnerability and livelihood assets of forest-dependent communities in northern Pakistan,2007,1,1,0,Graphical non-robust
756,811,"Almudi, T.; Berkes, F.",Barriers to empowerment: Fighting eviction for conservation in a southern Brazilian protected area,2010,1,1,0,Graphical non-robust
777,833,"Bartlett, C.Y.","Emergence, evolution and outcomes of marine protected areas in Vanuatu : implications for social-ecological governance",2009,1,1,0,Graphical non-robust
31,31,"Bayala, J.; Sanou, J.; Teklehaimanot, Z.; Kalinganire, A.; Ou’éÎ©draogo, S. J.",Parklands for buffering climate risk and sustaining agricultural production in the Sahel of West Africa,2013,1,1,0,Graphical non-robust
781,837,"Becker, C. D.; Agreda, A.; Astudillo, E.; Costantino, M.; Torres, P.","Community-based monitoring of fog capture and biodiversity at Loma Alta, Ecuador enhance social capital and institutional cooperation",2005,1,1,0,Graphical non-robust
38,39,"Bennett, N. J.; Dearden, P.","Why local people do not support conservation: Community perceptions of marine protected area livelihood impacts, governance and management in Thailand",2014,1,1,0,Graphical non-robust
791,847,"Bremer, L. L.; Farley, K. A.; Lopez-Carr, D.",What factors influence participation in payment for ecosystem services programs? An evaluation of Ecuador's SocioP’é’_ramo program,2014,1,1,0,Graphical non-robust
794,850,"Brown, P.","Marine Protected Areas, Co-Management and Livelihoods: Coastal Change in Vietnam",2013,1,1,0,Graphical non-robust
63,64,"Calkins, P.; Thant, P. P.",Sustainable agro-forestry in Myanmar from intentions to behavior,2011,1,1,0,Graphical non-robust
69,70,"Capistrano, R. C. G.; Charles, A. T.","Indigenous rights and coastal fisheries: A framework of livelihoods, rights and equity",2012,1,1,0,Graphical non-robust
84,87,"Cinner, J.; Fuentes, Mmpb; Randriamahazo, H.",Exploring Social Resilience in Madagascar's Marine Protected Areas,2009,1,1,0,Graphical non-robust
86,89,"Clement, F.; Amezaga, J. M.",Afforestation and forestry land allocation in northern Vietnam: Analysing the gap between policy intentions and outcomes,2009,1,1,0,Graphical non-robust
91,94,"Coulibaly-Lingani, P.; Savadogo, P.; Tigabu, M.; Oden, P. C.","Factors influencing people's participation in the forest management program in Burkina Faso, West Africa",2011,1,1,0,Graphical non-robust
102,106,"Das, N.",Impact of participatory forestry program on sustainable rural livelihoods: Lessons from an Indian province,2012,1,1,0,Graphical non-robust
814,871,"Dev, O. P., Yadav, N. P., Springate-Baginski, O. and Soussan, J.  .",Impacts of community forestry on livelihoods in the Middle hills of Nepal.,2003,1,1,0,Graphical non-robust
150,156,"Everard, M.; Kataria, G.","Recreational angling markets to advance the conservation of a reach of the Western Ramganga River, India",2011,1,1,0,Graphical non-robust
